qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|F4BZK1|F4BZK1_METSG	UPIMAPI	Acetyl-CoA acetyltransferase	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; isoprenoid biosynthetic process [GO:0008299]		PF22691;PF00108;
tr|F4BZK0|F4BZK0_METSG	UPIMAPI	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)	acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	2.3.3.10	PF08541;
tr|F4BZJ9|F4BZJ9_METSG	UPIMAPI	Helix-turn-helix domain protein	DNA binding [GO:0003677]		PF01381;
tr|F4BZJ6|F4BZJ6_METSG	UPIMAPI	Tetrahydromethanopterin S-methyltransferase subunit E (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit E)	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]	7.2.1.4	PF04206;
tr|F4BZI6|F4BZI6_METSG	UPIMAPI	Universal stress protein			PF00582;
tr|F4BZI5|F4BZI5_METSG	UPIMAPI	Tetrahedral aminopeptidase (EC 3.4.11.-)	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; proteolysis [GO:0006508]	3.4.11.-	PF05343;
tr|F4BZI4|F4BZI4_METSG	UPIMAPI	3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase)	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]		PF00368;
tr|F4BZF7|F4BZF7_METSG	UPIMAPI	Superoxide dismutase (EC 1.15.1.1)	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	1.15.1.1	PF02777;PF00081;
tr|F4BZD3|F4BZD3_METSG	UPIMAPI	Bifunctional protein GlmU	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]		PF00132;PF00483;
tr|F4BZC4|F4BZC4_METSG	UPIMAPI	DegT/DnrJ/EryC1/StrS family aminotransferase	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; polysaccharide biosynthetic process [GO:0000271]		PF01041;
tr|F4BZB5|F4BZB5_METSG	UPIMAPI	Small ribosomal subunit protein uS2	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF00318;
tr|F4BZB4|F4BZB4_METSG	UPIMAPI	MEMO1 family protein MCON_2560			PF01875;
tr|F4BZB0|F4BZB0_METSG	UPIMAPI	Tetrahydromethanopterin S-methyltransferase subunit H (EC 2.1.1.86)	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]	2.1.1.86	PF02007;
tr|F4BZ98|F4BZ98_METSG	UPIMAPI	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.1	PF01993;
tr|F4BZ97|F4BZ97_METSG	UPIMAPI	Peptidase S1 domain-containing protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00089;
tr|F4BZ89|F4BZ89_METSG	UPIMAPI	Thermosome beta subunit	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00118;
tr|F4BZ87|F4BZ87_METSG	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00012;
tr|F4BZ82|F4BZ82_METSG	UPIMAPI	Cna B domain protein	extracellular region [GO:0005576]; membrane [GO:0016020]		PF17210;
tr|F4BZ32|F4BZ32_METSG	UPIMAPI	Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1, EC 2.5.1.10)	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; isoprenoid biosynthetic process [GO:0008299]	2.5.1.1; 2.5.1.10	PF00348;
tr|F4BZ11|F4BZ11_METSG	UPIMAPI	Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; fructose-bisphosphate aldolase activity [GO:0004332]; magnesium ion binding [GO:0000287]; gluconeogenesis [GO:0006094]	3.1.3.11; 4.1.2.13	PF01950;
tr|F4BZ10|F4BZ10_METSG	UPIMAPI	Aldolase	aldehyde-lyase activity [GO:0016832]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]		PF01116;
tr|F4BZ09|F4BZ09_METSG	UPIMAPI	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	cytosol [GO:0005829]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; sucrose biosynthetic process [GO:0005986]	3.1.3.11	PF00316;PF18913;
tr|F4BZ07|F4BZ07_METSG	UPIMAPI	V-type ATP synthase subunit I	proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; ATPase binding [GO:0051117]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; vacuolar acidification [GO:0007035]		PF01496;
tr|F4BZ05|F4BZ05_METSG	UPIMAPI	V-type proton ATPase subunit E (V-ATPase subunit E)	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF01991;
tr|F4BZ04|F4BZ04_METSG	UPIMAPI	V-type ATP synthase subunit C (V-ATPase subunit C)	proton-transporting V-type ATPase, V0 domain [GO:0033179]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF01992;
tr|F4BZ03|F4BZ03_METSG	UPIMAPI	V-type ATP synthase subunit F (V-ATPase subunit F)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF01990;
tr|F4BZ02|F4BZ02_METSG	UPIMAPI	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	7.1.2.2	PF00006;PF02874;PF16886;PF22919;
tr|F4BZ01|F4BZ01_METSG	UPIMAPI	V-type ATP synthase beta chain (V-ATPase subunit B)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF00006;PF02874;PF22919;
tr|F4BZ00|F4BZ00_METSG	UPIMAPI	V-type ATP synthase subunit D (V-ATPase subunit D)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF01813;
tr|F4BYZ8|F4BYZ8_METSG	UPIMAPI	Tryptophan synthase beta chain (EC 4.2.1.20)	cytoplasm [GO:0005737]; L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity [GO:0052684]; pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]	4.2.1.20	PF00291;
tr|F4BYZ7|F4BYZ7_METSG	UPIMAPI	Soluble hydrogenase small subunit (EC 1.12.-.-)	alanine-glyoxylate transaminase activity [GO:0008453]; L-serine-pyruvate transaminase activity [GO:0004760]; oxidoreductase activity [GO:0016491]; glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]	1.12.-.-	PF00266;
tr|F4BYZ4|F4BYZ4_METSG	UPIMAPI	DUF4198 domain-containing protein			PF10670;
tr|F4BYY7|F4BYY7_METSG	UPIMAPI	DUF4198 domain-containing protein			PF10670;
tr|F4BYY6|F4BYY6_METSG	UPIMAPI	DUF4198 domain-containing protein			PF10670;
tr|F4BYY2|F4BYY2_METSG	UPIMAPI	Putative nickel-responsive regulator	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nickel cation binding [GO:0016151]; response to nickel cation [GO:0010045]		PF08753;PF01402;
tr|F4BYY1|F4BYY1_METSG	UPIMAPI	TPR-repeat protein			PF00515;PF13432;PF13174;PF13181;
tr|F4BYY0|F4BYY0_METSG	UPIMAPI	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	2-isopropylmalate synthase activity [GO:0003852]; coenzyme B biosynthetic process [GO:0019298]; L-leucine biosynthetic process [GO:0009098]	2.3.3.13	PF22617;PF00682;PF08502;
tr|F4BYW8|F4BYW8_METSG	UPIMAPI	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	cytosol [GO:0005829]; orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	4.1.1.23	PF00215;
tr|F4BYW1|F4BYW1_METSG	UPIMAPI	VWA domain-containing protein			PF08487;PF00092;
tr|F4BYT8|F4BYT8_METSG	UPIMAPI	Putative ABC transporter periplasmic-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|F4BYT2|F4BYT2_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BYS5|F4BYS5_METSG	UPIMAPI	DJ-1/PfpI family protein	cytoplasm [GO:0005737]		PF01965;
tr|F4BYQ0|F4BYQ0_METSG	UPIMAPI	Amino acid-binding protein			
tr|F4BYP5|F4BYP5_METSG	UPIMAPI	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; protoporphyrinogen IX biosynthetic process [GO:0006782]	5.4.3.8	PF00202;
tr|F4BYP3|F4BYP3_METSG	UPIMAPI	Trk system potassium uptake protein	plasma membrane [GO:0005886]; potassium ion transmembrane transporter activity [GO:0015079]		PF02080;PF02254;
tr|F4BYP1|F4BYP1_METSG	UPIMAPI	Glycogen debranching enzyme, archaeal type, putative	4-alpha-glucanotransferase activity [GO:0004134]; amylo-alpha-1,6-glucosidase activity [GO:0004135]; glycogen catabolic process [GO:0005980]		PF06202;PF12439;
tr|F4BYP0|F4BYP0_METSG	UPIMAPI	Glycosyltransferase family 57 protein	transferase activity [GO:0016740]; carbohydrate metabolic process [GO:0005975]		PF03065;
tr|F4BYK3|F4BYK3_METSG	UPIMAPI	Aminotransferase (EC 2.6.1.-)	L,L-diaminopimelate aminotransferase activity [GO:0010285]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]	2.6.1.-	PF00155;
tr|F4BYJ2|F4BYJ2_METSG	UPIMAPI	Lipoprotein			
tr|F4BYI3|F4BYI3_METSG	UPIMAPI	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	cytoplasm [GO:0005737]; coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity [GO:0018537]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.2	PF00296;
tr|F4BYH7|F4BYH7_METSG	UPIMAPI	Putative ABC transporter periplasmic-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|F4BYH6|F4BYH6_METSG	UPIMAPI	Cell division inhibitor MinD	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cell division [GO:0051301]; negative regulation of cell division [GO:0051782]		PF01656;
tr|F4BYH4|F4BYH4_METSG	UPIMAPI	Formylmethanofuran dehydrogenase subunit E domain-containing protein			PF02663;
tr|F4BYG4|F4BYG4_METSG	UPIMAPI	Thyroglobulin type-1 domain-containing protein			
tr|F4BYB6|F4BYB6_METSG	UPIMAPI	acylphosphatase (EC 3.6.1.7)	acylphosphatase activity [GO:0003998]	3.6.1.7	PF00708;
tr|F4BYB3|F4BYB3_METSG	UPIMAPI	CDC48 family AAA ATPase	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		PF00004;PF17862;PF02933;PF02359;
tr|F4BYA5|F4BYA5_METSG	UPIMAPI	ACT domain-containing protein			PF19571;
tr|F4BYA4|F4BYA4_METSG	UPIMAPI	Phenylacetate--CoA ligase	phenylacetate-CoA ligase activity [GO:0047475]; phenylacetate catabolic process [GO:0010124]		PF00501;PF14535;
tr|F4BY92|F4BY92_METSG	UPIMAPI	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	cytoplasm [GO:0005737]; 2-dehydro-3-deoxy-phosphogluconate aldolase activity [GO:0008675]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	4.3.3.7	PF00701;
tr|F4BY91|F4BY91_METSG	UPIMAPI	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	1.17.1.8	PF05173;PF01113;
tr|F4BY88|F4BY88_METSG	UPIMAPI	Threonine dehydratase			
tr|F4BY87|F4BY87_METSG	UPIMAPI	Homoserine dehydrogenase (EC 1.1.1.3)	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	1.1.1.3	PF00742;PF03447;
tr|F4BY85|F4BY85_METSG	UPIMAPI	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	cytoplasm [GO:0005737]; histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; L-histidine biosynthetic process [GO:0000105]	1.1.1.23	PF00815;
tr|F4BY73|F4BY73_METSG	UPIMAPI	Phosphoglycerate kinase (EC 2.7.2.3)	cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	2.7.2.3	PF00162;
tr|F4BY71|F4BY71_METSG	UPIMAPI	WD40-like Beta Propeller Repeat protein			PF07676;
tr|F4BY70|F4BY70_METSG	UPIMAPI	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	4.3.3.6	PF01680;
tr|F4BY65|F4BY65_METSG	UPIMAPI	Lipoprotein			
tr|F4BY48|F4BY48_METSG	UPIMAPI	Phosphate ABC transporter periplasmic substrate-binding protein PstS	phosphate ion binding [GO:0042301]		PF12849;
tr|F4BY47|F4BY47_METSG	UPIMAPI	Flavodoxin domain-containing protein	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]		PF00258;
tr|F4BY44|F4BY44_METSG	UPIMAPI	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)	coenzyme F420 hydrogenase activity [GO:0050454]; oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor [GO:0052592]	1.12.98.1	PF04432;PF04422;
tr|F4BY33|F4BY33_METSG	UPIMAPI	Aminotransferase (EC 2.6.1.-)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	2.6.1.-	PF00155;
tr|F4BY31|F4BY31_METSG	UPIMAPI	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	L-isoleucine-2-oxoglutarate transaminase activity [GO:0052656]; L-leucine-2-oxoglutarate transaminase activity [GO:0052654]; L-valine-2-oxoglutarate transaminase activity [GO:0052655]; isoleucine biosynthetic process [GO:0009097]; L-leucine biosynthetic process [GO:0009098]; L-valine biosynthetic process [GO:0009099]	2.6.1.42	PF01063;
tr|F4BXZ6|F4BXZ6_METSG	UPIMAPI	S-layer-related duplication domain protein	membrane [GO:0016020]		PF08308;PF07752;
tr|F4BXZ4|F4BXZ4_METSG	UPIMAPI	3-methyl-2-oxobutanoate dehydrogenase subunit VorB	oxidoreductase activity [GO:0016491]; organic acid metabolic process [GO:0006082]; sulfur compound biosynthetic process [GO:0044272]		PF17147;PF01855;
tr|F4BXY9|F4BXY9_METSG	UPIMAPI	Aminotransferase (EC 2.6.1.-)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	2.6.1.-	PF00155;
tr|F4BXY4|F4BXY4_METSG	UPIMAPI	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02241;PF02783;
tr|F4BXY3|F4BXY3_METSG	UPIMAPI	Methyl-coenzyme M reductase II operon protein D	methanogenesis [GO:0015948]		PF02505;
tr|F4BXY2|F4BXY2_METSG	UPIMAPI	coenzyme-B sulfoethylthiotransferase (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02240;
tr|F4BXY1|F4BXY1_METSG	UPIMAPI	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|F4BXX2|F4BXX2_METSG	UPIMAPI	Cobalt chelatase (EC 4.99.1.-)	sirohydrochlorin cobaltochelatase activity [GO:0016852]; anaerobic cobalamin biosynthetic process [GO:0019251]	4.99.1.-	PF06180;
tr|F4BXW8|F4BXW8_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BXW7|F4BXW7_METSG	UPIMAPI	Cobalamin-binding protein			PF01497;
tr|F4BXW6|F4BXW6_METSG	UPIMAPI	Cobalamin-binding protein	polysaccharide catabolic process [GO:0000272]		PF01497;
tr|F4BXV3|F4BXV3_METSG	UPIMAPI	Phosphoglucomutase/phosphomannomutase (EC 5.4.2.2, EC 5.4.2.8)	metal ion binding [GO:0046872]; phosphoglucomutase activity [GO:0004614]; phosphomannomutase activity [GO:0004615]; carbohydrate metabolic process [GO:0005975]	5.4.2.2; 5.4.2.8	PF02878;PF02879;PF02880;PF00408;
tr|F4BXV1|F4BXV1_METSG	UPIMAPI	Conserved repeat domain protein	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		PF01364;
tr|F4BXT4|F4BXT4_METSG	UPIMAPI	DOMON domain protein			PF03351;PF09968;
tr|F4BXS7|F4BXS7_METSG	UPIMAPI	Dinitrogenase iron-molybdenum cofactor			PF02579;
tr|F4BXR2|F4BXR2_METSG	UPIMAPI	Carboxymuconolactone decarboxylase family protein	peroxiredoxin activity [GO:0051920]		PF02627;
tr|F4BXQ6|F4BXQ6_METSG	UPIMAPI	Conserved domain protein			
tr|F4BXN7|F4BXN7_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BXM7|F4BXM7_METSG	UPIMAPI	Periplasmic copper-binding protein NosD beta helix domain-containing protein			PF05048;
tr|F4BXM5|F4BXM5_METSG	UPIMAPI	Uncharacterized protein			PF18065;PF18047;
tr|F4BXM4|F4BXM4_METSG	UPIMAPI	Lipoprotein			
tr|F4BXM3|F4BXM3_METSG	UPIMAPI	Uncharacterized protein			PF18065;PF18047;
tr|F4BXM2|F4BXM2_METSG	UPIMAPI	Lipoprotein			
tr|F4BXM1|F4BXM1_METSG	UPIMAPI	Uncharacterized protein			PF18065;PF18047;
tr|F4BXL5|F4BXL5_METSG	UPIMAPI	Uncharacterized protein			PF18065;PF18047;
tr|F4BXK4|F4BXK4_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BXJ5|F4BXJ5_METSG	UPIMAPI	Right handed beta helix domain-containing protein	extracellular region [GO:0005576]		PF02415;
tr|F4BXJ2|F4BXJ2_METSG	UPIMAPI	Oligopeptide ABC transporter, solute-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|F4BXI9|F4BXI9_METSG	UPIMAPI	Sulfite reductase, dissimilatory-type subunit alpha (EC 1.8.99.5)	4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	1.8.99.5	PF12838;PF01077;PF03460;
tr|F4BXI2|F4BXI2_METSG	UPIMAPI	ABC transporter substrate-binding protein			PF01497;
tr|F4BXH3|F4BXH3_METSG	UPIMAPI	Cobaltochelatase, CobN subunit	cobaltochelatase activity [GO:0051116]; magnesium chelatase activity [GO:0016851]; chlorophyll biosynthetic process [GO:0015995]; cobalamin biosynthetic process [GO:0009236]		PF02514;
tr|F4BXG9|F4BXG9_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BXG8|F4BXG8_METSG	UPIMAPI	Cobalamin-binding protein			PF01497;
tr|F4BXG6|F4BXG6_METSG	UPIMAPI	Cobaltochelatase, CobN subunit (EC 6.6.1.2)	cobaltochelatase activity [GO:0051116]; magnesium chelatase activity [GO:0016851]; chlorophyll biosynthetic process [GO:0015995]; cobalamin biosynthetic process [GO:0009236]	6.6.1.2	PF02514;
tr|F4BXF2|F4BXF2_METSG	UPIMAPI	Small ribosomal subunit protein uS11	cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF00411;
tr|F4BXB6|F4BXB6_METSG	UPIMAPI	FAD-dependent pyridine nucleotide-disulfide oxidoreductase (EC 1.6.99.3)	oxidoreductase activity [GO:0016491]	1.6.99.3	PF07992;PF02852;
tr|F4BXA8|F4BXA8_METSG	UPIMAPI	Zinc ABC transporter substrate-binding protein	metal ion binding [GO:0046872]; metal ion transport [GO:0030001]		PF01297;
tr|F4BX99|F4BX99_METSG	UPIMAPI	Periplasmic binding protein	polysaccharide catabolic process [GO:0000272]		PF01497;
tr|F4BX87|F4BX87_METSG	UPIMAPI	Flavodoxin family protein	oxidoreductase activity [GO:0016491]		PF03358;
tr|F4BX70|F4BX70_METSG	UPIMAPI	Polymer-forming cytoskeletal	membrane [GO:0016020]		
tr|F4BX42|F4BX42_METSG	UPIMAPI	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; hydroxylamine reductase activity [GO:0050418]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; response to hydrogen peroxide [GO:0042542]	1.7.99.1	PF03063;
tr|F4BX30|F4BX30_METSG	UPIMAPI	Proteasome-activating nucleotidase (PAN) (Proteasomal ATPase) (Proteasome regulatory ATPase) (Proteasome regulatory particle)	cytoplasm [GO:0005737]; proteasome-activating nucleotidase complex [GO:0022623]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]		PF00004;PF17862;PF16450;
tr|F4BX26|F4BX26_METSG	UPIMAPI	AMP phosphorylase (AMPpase) (EC 2.4.2.57) (Nucleoside monophosphate phosphorylase) (NMP phosphorylase)	cytosol [GO:0005829]; 1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]; AMP binding [GO:0016208]; pentosyltransferase activity [GO:0016763]; AMP catabolic process [GO:0006196]; pyrimidine deoxyribonucleoside metabolic process [GO:0046125]; pyrimidine nucleobase metabolic process [GO:0006206]	2.4.2.57	PF02885;PF00591;PF07831;
tr|F4BX08|F4BX08_METSG	UPIMAPI	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	6.2.1.1	PF16177;PF00501;PF13193;
tr|F4BX07|F4BX07_METSG	UPIMAPI	Acetate--CoA ligase (EC 6.2.1.1)	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	6.2.1.1	PF16177;PF00501;PF13193;
tr|F4BX06|F4BX06_METSG	UPIMAPI	Acetate--CoA ligase (EC 6.2.1.1)	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	6.2.1.1	PF16177;PF00501;PF13193;
